Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C601,9.1mm,3.700000mm,Bottom,-90.0,9.1mm,3.700000mm
C602,8.15mm,3.700000mm,Bottom,-90.0,8.15mm,3.700000mm
C603,8.15mm,1.500000mm,Bottom,90.0,8.15mm,1.500000mm
C604,7.2mm,3.700000mm,Bottom,-90.0,7.2mm,3.700000mm
C605,21.025mm,2.041668mm,Bottom,0.0,21.025mm,2.041668mm
C606,7.2mm,1.500000mm,Bottom,-90.0,7.2mm,1.500000mm
C607,24.7mm,5.925000mm,Bottom,0.0,24.7mm,5.925000mm
C608,7.425mm,12.175000mm,Bottom,180.0,7.425mm,12.175000mm
C617,1.6mm,9.524628mm,Bottom,-90.0,1.6mm,9.524628mm
C618,4.024936mm,3.925000mm,Bottom,0.0,4.024936mm,3.925000mm
D604,3.625mm,1.750000mm,Bottom,180.0,3.625mm,1.750000mm
R602,15.925mm,6.800000mm,Bottom,180.0,15.925mm,6.800000mm
R603,15.15mm,8.800000mm,Bottom,0.0,15.15mm,8.800000mm
R604,9.1mm,1.500000mm,Bottom,90.0,9.1mm,1.500000mm
R605,15.125mm,7.800000mm,Bottom,180.0,15.125mm,7.800000mm
R606,23.725mm,7.075000mm,Bottom,180.0,23.725mm,7.075000mm
R607,21.025mm,0.975000mm,Bottom,180.0,21.025mm,0.975000mm
R608,17.025mm,7.800000mm,Bottom,0.0,17.025mm,7.800000mm
R609,10.025mm,12.150000mm,Bottom,180.0,10.025mm,12.150000mm
R610,19.1mm,4.550000mm,Bottom,180.0,19.1mm,4.550000mm
R611,21.025mm,4.550000mm,Bottom,180.0,21.025mm,4.550000mm
R612,21.025mm,3.283334mm,Bottom,0.0,21.025mm,3.283334mm
R613,11.0mm,10.450000mm,Bottom,90.0,11.0mm,10.450000mm
R614,7.420709mm,11.225000mm,Bottom,0.0,7.420709mm,11.225000mm
R615,9.475mm,10.750000mm,Bottom,0.0,9.475mm,10.750000mm
R616,24.675mm,10.725000mm,Bottom,180.0,24.675mm,10.725000mm
R618,12.4mm,8.800000mm,Bottom,180.0,12.4mm,8.800000mm
R619,13.225mm,7.800000mm,Bottom,180.0,13.225mm,7.800000mm
R620,13.225mm,6.800000mm,Bottom,0.0,13.225mm,6.800000mm
R621,1.6mm,11.725000mm,Bottom,-90.0,1.6mm,11.725000mm
R622,22.725mm,10.725000mm,Bottom,0.0,22.725mm,10.725000mm
R623,11.35mm,6.800000mm,Bottom,180.0,11.35mm,6.800000mm
R624,7.425mm,13.125000mm,Bottom,0.0,7.425mm,13.125000mm
R629,1.61mm,7.513652mm,Bottom,90.0,1.61mm,7.513652mm
U600,13.65mm,3.250000mm,Bottom,270.0,13.65mm,3.250000mm
U601,4.3mm,12.175000mm,Bottom,0.0,4.3mm,12.175000mm
U605,5.8mm,7.449628mm,Bottom,180.0,5.8mm,7.449628mm
C600,15.887500mm,1.875000mm,Top,-90.0,15.887500mm,1.875000mm
C609,7.575000mm,3.300000mm,Top,-90.0,7.575000mm,3.300000mm
C610,2.177000mm,9.850000mm,Top,0.0,2.177000mm,9.850000mm
C611,17.000000mm,7.950000mm,Top,-90.0,17.000000mm,7.950000mm
C612,17.000000mm,9.850000mm,Top,90.0,17.000000mm,9.850000mm
C613,3.075000mm,5.325000mm,Top,0.0,3.075000mm,5.325000mm
C614,17.000000mm,5.825000mm,Top,90.0,17.000000mm,5.825000mm
C615,6.900000mm,12.625000mm,Top,90.0,6.900000mm,12.625000mm
C616,5.225000mm,7.787500mm,Top,-90.0,5.225000mm,7.787500mm
D600,25.600000mm,2.725000mm,Top,90.0,25.600000mm,2.725000mm
D601,12.825000mm,1.400000mm,Top,180.0,12.825000mm,1.400000mm
D602,9.850000mm,1.400000mm,Top,0.0,9.850000mm,1.400000mm
D603,5.317550mm,12.230000mm,Top,-90.0,5.317550mm,12.230000mm
M600,0.000000mm,0.000000mm,Top,0.0,0.000000mm,0.000000mm
Q600,21.160000mm,5.950000mm,Top,-90.0,21.160000mm,5.950000mm
Q601,21.250000mm,12.625000mm,Top,180.0,21.250000mm,12.625000mm
R600,16.950000mm,3.775000mm,Top,-90.0,16.950000mm,3.775000mm
R601,16.950000mm,1.875000mm,Top,-90.0,16.950000mm,1.875000mm
R617,15.700000mm,12.625000mm,Top,90.0,15.700000mm,12.625000mm
R625,5.050000mm,5.300000mm,Top,0.0,5.050000mm,5.300000mm
R626,14.825000mm,1.875000mm,Top,-90.0,14.825000mm,1.875000mm
R627,7.700000mm,1.425000mm,Top,-90.0,7.700000mm,1.425000mm
R628,4.825000mm,9.850000mm,Top,180.0,4.825000mm,9.850000mm
U602,11.350000mm,8.100000mm,Top,90.0,11.350000mm,8.100000mm
U603,2.725000mm,12.100000mm,Top,270.0,2.725000mm,12.100000mm
U604,2.775000mm,7.625000mm,Top,0.0,2.775000mm,7.625000mm
