Designator,Mid X,Mid Y,Layer,Rotation
R148,11.8000mm,34.2000mm,Bottom,180
R142,13.2000mm,35.1000mm,Bottom,180
M100,17.0000mm,18.0000mm,Top,0
U108,29.3802mm,2.0090mm,Top,0
VD103,32.2000mm,6.5950mm,Bottom,270
U101,4.1500mm,31.4464mm,Top,270
C119,11.8001mm,26.7194mm,Bottom,0
R147,20.8116mm,34.5163mm,Bottom,0
R146,1.1339mm,33.1000mm,Bottom,270
R141,14.2000mm,35.1000mm,Bottom,180
U102,9.2565mm,29.7285mm,Bottom,180
R109,9.3163mm,29.1328mm,Top,180
R108,6.4000mm,28.7440mm,Bottom,180
Q103,10.0428mm,31.1968mm,Top,180
Q102,14.5950mm,33.8000mm,Top,180
Q101,8.8725mm,34.0350mm,Bottom,0
Q100,5.5000mm,31.3950mm,Bottom,270
L100,15.3994mm,15.3500mm,Bottom,180
F100,17.2550mm,34.0284mm,Bottom,180
C120,13.5001mm,15.1995mm,Top,0
C107,8.3785mm,31.8000mm,Bottom,0
C106,8.4035mm,27.4569mm,Bottom,0
U110,7.9531mm,25.4049mm,Bottom,270
R145,7.9922mm,22.4447mm,Bottom,0
R144,7.9922mm,23.3902mm,Bottom,0
R143,1.3968mm,11.2312mm,Bottom,270
R107,10.1139mm,33.3784mm,Top,0
D108,9.7531mm,34.7500mm,Top,180
U107,31.1065mm,11.2039mm,Bottom,0
U106,31.7924mm,24.6318mm,Top,0
C134,31.1065mm,9.4676mm,Bottom,0
C126,32.0952mm,26.5751mm,Top,180
VD102,28.8462mm,6.5950mm,Bottom,270
VD101,32.2000mm,2.2050mm,Bottom,90
VD100,28.8462mm,2.2050mm,Bottom,90
U109,29.3802mm,4.4840mm,Top,0
U103,6.5000mm,17.8250mm,Bottom,270
U100,4.1001mm,24.5005mm,Top,90
U195,11.3000mm,10.3500mm,Top,90
U190,25.5000mm,10.3500mm,Top,90
U185,4.2000mm,10.3500mm,Top,90
U180,18.4000mm,10.3500mm,Top,90
S101,20.1997mm,33.6143mm,Top,0
S100,31.3465mm,20.5000mm,Top,90
R140,25.3001mm,4.3000mm,Bottom,0
R111,1.5000mm,15.6500mm,Bottom,180
R112,1.5000mm,16.7000mm,Bottom,180
R117,1.5000mm,21.9500mm,Bottom,180
R115,1.5000mm,19.8500mm,Bottom,180
R116,1.5000mm,20.9000mm,Bottom,180
R114,1.5000mm,18.8000mm,Bottom,180
R113,1.5000mm,17.7500mm,Bottom,180
R110,1.5000mm,14.6000mm,Bottom,180
R120,31.8183mm,27.7870mm,Top,0
R100,1.2001mm,24.5000mm,Bottom,90
R258,21.9577mm,3.7949mm,Bottom,270
R255,1.1500mm,1.9000mm,Bottom,270
R256,22.9000mm,6.5000mm,Bottom,90
R254,1.0500mm,4.3500mm,Top,270
R245,18.6001mm,2.8500mm,Bottom,0
R227,13.8000mm,2.8500mm,Bottom,0
R200,4.2001mm,2.8500mm,Bottom,0
R197,11.3001mm,11.7000mm,Bottom,180
R196,11.3000mm,8.9000mm,Bottom,0
R195,14.1501mm,8.4000mm,Bottom,270
R191,25.4000mm,11.7000mm,Bottom,180
R190,25.4000mm,8.9000mm,Bottom,0
R186,4.2000mm,11.7000mm,Bottom,180
R185,4.2000mm,8.9000mm,Bottom,0
R181,18.4000mm,11.7000mm,Bottom,180
R180,18.4000mm,8.9000mm,Bottom,0
R139,26.5000mm,1.8000mm,Top,270
R138,25.3000mm,1.8000mm,Top,270
R137,24.1000mm,1.8000mm,Top,270
R136,22.9000mm,1.8000mm,Top,270
R135,26.5000mm,2.8000mm,Top,90
R132,25.3000mm,2.8000mm,Top,90
R126,24.1000mm,2.8000mm,Top,90
R124,22.9000mm,2.8000mm,Top,90
R119,2.1000mm,15.7000mm,Top,90
R118,2.1000mm,19.8000mm,Top,90
R253,20.5000mm,1.8000mm,Top,90
R252,19.3000mm,1.8000mm,Top,90
R251,18.1000mm,1.8000mm,Top,90
R250,16.9000mm,1.8000mm,Top,90
R249,20.5000mm,2.8000mm,Top,270
R248,19.3000mm,2.8000mm,Top,270
R247,18.1000mm,2.8000mm,Top,270
R246,16.9000mm,2.8000mm,Top,270
R235,15.7000mm,1.8000mm,Top,90
R234,14.5000mm,1.8000mm,Top,90
R233,13.3000mm,1.8000mm,Top,90
R232,12.1000mm,1.8000mm,Top,90
R231,15.7000mm,2.8000mm,Top,270
R230,14.5000mm,2.8000mm,Top,270
R229,13.3000mm,2.8000mm,Top,270
R228,12.1000mm,2.8000mm,Top,270
R226,10.9000mm,1.8000mm,Top,270
R225,9.7000mm,1.8000mm,Top,270
R224,8.5000mm,1.8000mm,Top,270
R223,7.3000mm,1.8000mm,Top,270
R222,10.9000mm,2.8000mm,Top,90
R221,9.7000mm,2.8000mm,Top,90
R220,8.5000mm,2.8000mm,Top,90
R219,7.3000mm,2.8000mm,Top,90
R218,9.0000mm,2.8500mm,Bottom,0
R208,6.1000mm,1.8000mm,Top,270
R207,4.9000mm,1.8000mm,Top,270
R206,3.7000mm,1.8000mm,Top,270
R205,2.5000mm,1.8000mm,Top,270
R204,6.1000mm,2.8000mm,Top,90
R203,4.9000mm,2.8000mm,Top,90
R202,3.7000mm,2.8000mm,Top,90
R201,2.5000mm,2.8000mm,Top,90
P106,23.4000mm,13.7500mm,Top,270
P105,15.7800mm,13.7500mm,Top,270
P104,19.7900mm,13.7500mm,Top,270
P201,21.7500mm,2.3000mm,Top,90
P200,1.2000mm,0.8000mm,Top,90
J100,26.9500mm,23.6000mm,Bottom,90
D100,4.6000mm,23.7923mm,Bottom,180
D205,31.1965mm,9.0564mm,Top,90
D206,18.7000mm,5.6000mm,Top,180
D203,13.9000mm,5.6000mm,Top,180
D200,4.3000mm,5.6000mm,Top,180
D116,5.6361mm,14.3995mm,Top,180
D115,9.8744mm,14.3995mm,Top,180
D114,5.6361mm,16.3329mm,Top,180
D113,9.8744mm,16.3329mm,Top,180
D112,5.6361mm,18.2662mm,Top,180
D111,9.8744mm,18.2662mm,Top,180
D110,5.6361mm,20.1995mm,Top,180
D109,9.7531mm,20.3389mm,Top,180
D202,9.1000mm,5.6000mm,Top,180
C143,22.9000mm,4.7000mm,Top,270
C144,24.1000mm,4.7000mm,Top,90
C145,25.3000mm,4.7000mm,Top,270
C146,26.5000mm,4.7000mm,Top,270
C112,11.8122mm,14.0853mm,Bottom,0
C111,1.5000mm,13.6000mm,Bottom,180
C123,27.1000mm,32.2250mm,Bottom,0
C117,27.1000mm,33.4925mm,Bottom,0
C105,5.3000mm,26.0000mm,Bottom,0
C100,2.7275mm,26.0000mm,Bottom,180
C229,22.9000mm,3.7949mm,Bottom,90
C224,1.0500mm,2.4000mm,Top,90
C223,1.0500mm,6.6500mm,Top,90
C222,1.1000mm,3.7000mm,Bottom,270
C221,21.3227mm,6.4728mm,Top,270
C220,21.2153mm,6.5000mm,Bottom,270
C225,16.7001mm,5.5500mm,Bottom,270
C226,17.8000mm,5.5500mm,Bottom,270
C227,19.9501mm,5.5500mm,Bottom,270
C228,21.0153mm,2.7949mm,Bottom,90
