Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C600,105.918000mm,-87.122000mm,90.0,Top,105.918000mm,-87.122000mm
C601,106.045000mm,-89.027000mm,-90.0,Top,106.045000mm,-89.027000mm
C602,96.800000mm,-83.600000mm,180.0,Top,96.800000mm,-83.600000mm
C603,96.393000mm,-84.582000mm,180.0,Top,96.393000mm,-84.582000mm
C604,96.800000mm,-82.600000mm,180.0,Top,96.800000mm,-82.600000mm
C605,103.187500mm,-92.265500mm,180.0,Top,103.187500mm,-92.265500mm
C606,95.400000mm,-89.000000mm,180.0,Top,95.400000mm,-89.000000mm
C607,105.410000mm,-85.598000mm,0.0,Top,105.410000mm,-85.598000mm
C608,94.900000mm,-81.950000mm,0.0,Top,94.900000mm,-81.950000mm
C609,85.300000mm,-91.685000mm,-90.0,Top,85.300000mm,-91.685000mm
C610,79.877000mm,-85.060000mm,0.0,Top,79.877000mm,-85.060000mm
C611,94.950000mm,-86.950000mm,-90.0,Top,94.950000mm,-86.950000mm
C612,94.950000mm,-85.050000mm,90.0,Top,94.950000mm,-85.050000mm
C613,80.004000mm,-89.759000mm,0.0,Top,80.004000mm,-89.759000mm
C614,93.750000mm,-91.050000mm,-90.0,Top,93.750000mm,-91.050000mm
C615,84.650000mm,-82.100000mm,90.0,Top,84.650000mm,-82.100000mm
C616,82.925000mm,-87.600000mm,-90.0,Top,82.925000mm,-87.600000mm
D600,105.156000mm,-83.566000mm,90.0,Top,105.156000mm,-83.566000mm
D601,90.678000mm,-92.710000mm,180.0,Top,90.678000mm,-92.710000mm
D602,87.630000mm,-92.710000mm,0.0,Top,87.630000mm,-92.710000mm
D603,83.017550mm,-82.480050mm,-90.0,Top,83.017550mm,-82.480050mm
M600,77.700000mm,-95.050000mm,0.0,Top,77.700000mm,-95.050000mm
Q600,110.400000mm,-86.675000mm,-90.0,Top,110.400000mm,-86.675000mm
R600,105.029000mm,-89.027000mm,90.0,Top,105.029000mm,-89.027000mm
R601,104.902000mm,-87.122000mm,90.0,Top,104.902000mm,-87.122000mm
R602,94.900000mm,-82.900000mm,0.0,Top,94.900000mm,-82.900000mm
R603,99.822000mm,-85.090000mm,-90.0,Top,99.822000mm,-85.090000mm
R604,96.393000mm,-85.598000mm,180.0,Top,96.393000mm,-85.598000mm
R605,98.806000mm,-85.090000mm,-90.0,Top,98.806000mm,-85.090000mm
R606,103.886000mm,-85.090000mm,90.0,Top,103.886000mm,-85.090000mm
R607,101.219000mm,-92.265500mm,180.0,Top,101.219000mm,-92.265500mm
R608,97.850000mm,-85.090000mm,-90.0,Top,97.850000mm,-85.090000mm
R609,101.854000mm,-85.344000mm,0.0,Top,101.854000mm,-85.344000mm
R610,105.535000mm,-91.000000mm,0.0,Top,105.535000mm,-91.000000mm
R611,105.535000mm,-92.050000mm,180.0,Top,105.535000mm,-92.050000mm
R612,105.535000mm,-93.100000mm,0.0,Top,105.535000mm,-93.100000mm
R613,102.650000mm,-83.300000mm,-90.0,Top,102.650000mm,-83.300000mm
R614,103.650000mm,-83.100000mm,-90.0,Top,103.650000mm,-83.100000mm
R615,103.100000mm,-81.300000mm,0.0,Top,103.100000mm,-81.300000mm
R616,105.085000mm,-81.350000mm,0.0,Top,105.085000mm,-81.350000mm
R617,88.415000mm,-81.000000mm,0.0,Top,88.415000mm,-81.000000mm
R618,94.900000mm,-91.050000mm,90.0,Top,94.900000mm,-91.050000mm
R619,99.250500mm,-92.265500mm,180.0,Top,99.250500mm,-92.265500mm
R620,97.282000mm,-92.265500mm,180.0,Top,97.282000mm,-92.265500mm
R621,96.800000mm,-81.000000mm,0.0,Top,96.800000mm,-81.000000mm
R622,106.400000mm,-82.800000mm,90.0,Top,106.400000mm,-82.800000mm
R623,95.885000mm,-90.805000mm,-90.0,Top,95.885000mm,-90.805000mm
R624,94.900000mm,-81.000000mm,180.0,Top,94.900000mm,-81.000000mm
R625,82.750000mm,-89.750000mm,0.0,Top,82.750000mm,-89.750000mm
R626,93.218000mm,-92.710000mm,180.0,Top,93.218000mm,-92.710000mm
R627,86.365000mm,-93.950000mm,0.0,Top,86.365000mm,-93.950000mm
R628,82.942550mm,-84.990050mm,-90.0,Top,82.942550mm,-84.990050mm
U600,100.330000mm,-88.900000mm,0.0,Top,100.330000mm,-88.900000mm
U601,99.950000mm,-82.300000mm,180.0,Top,99.950000mm,-82.300000mm
U602,89.250000mm,-86.750000mm,180.0,Top,89.250000mm,-86.750000mm
U603,80.385000mm,-82.774000mm,90.0,Top,80.385000mm,-82.774000mm
U604,80.258000mm,-87.447600mm,180.0,Top,80.258000mm,-87.447600mm
