Designator,Mid X,Mid Y,Layer,Rotation
P480,7.0250mm,5.6750mm,Top,0
M480,9.1212mm,5.3178mm,Top,0
U480,15.3500mm,8.3700mm,Top,270
R480,16.0750mm,1.8000mm,Top,360
D480,15.6000mm,4.5000mm,Top,180
C482,15.4500mm,6.0250mm,Top,180
C481,16.1000mm,2.9750mm,Top,180
C480,14.1750mm,2.4500mm,Top,270
