Designator,Mid X,Mid Y,Layer,Rotation
M410,7.9625mm,7.9250mm,Top,0
D416,13.1000mm,14.6750mm,Top,180
D418,11.1250mm,3.3250mm,Top,180
D414,3.0250mm,9.7000mm,Top,180
R413,5.7750mm,7.2000mm,Top,360
R412,9.5750mm,10.4500mm,Top,180
Q411,14.4950mm,8.6250mm,Top,180
Q410,10.9450mm,8.3000mm,Top,180
C411,0.9250mm,8.7900mm,Top,90
F410,9.7250mm,13.2000mm,Top,90
D413,15.2500mm,11.8000mm,Top,270
R410,3.9250mm,11.6500mm,Top,90
D415,5.7000mm,14.2500mm,Top,360
D412,7.6000mm,8.8250mm,Top,270
C410,1.6500mm,12.7500mm,Top,90
D411,12.6500mm,11.9700mm,Top,270
D417,5.7000mm,11.2250mm,Top,270
R411,4.2000mm,8.4250mm,Top,180
D410,2.9500mm,7.1500mm,Top,360
