Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C600,28.218000mm,7.928000mm,Top,90.0,28.218000mm,7.928000mm
C601,28.345000mm,6.023000mm,Top,-90.0,28.345000mm,6.023000mm
C602,19.100000mm,11.450000mm,Top,180.0,19.100000mm,11.450000mm
C603,18.693000mm,10.468000mm,Top,180.0,18.693000mm,10.468000mm
C604,19.100000mm,12.450000mm,Top,180.0,19.100000mm,12.450000mm
C605,25.487500mm,2.784500mm,Top,180.0,25.487500mm,2.784500mm
C606,17.700000mm,6.050000mm,Top,180.0,17.700000mm,6.050000mm
C607,27.710000mm,9.452000mm,Top,0.0,27.710000mm,9.452000mm
C608,17.200000mm,13.100000mm,Top,0.0,17.200000mm,13.100000mm
C609,7.600000mm,3.365000mm,Top,-90.0,7.600000mm,3.365000mm
C610,2.177000mm,9.990000mm,Top,0.0,2.177000mm,9.990000mm
C611,17.250000mm,8.100000mm,Top,-90.0,17.250000mm,8.100000mm
C612,17.250000mm,10.000000mm,Top,90.0,17.250000mm,10.000000mm
C613,2.304000mm,5.291000mm,Top,0.0,2.304000mm,5.291000mm
C614,16.050000mm,4.000000mm,Top,-90.0,16.050000mm,4.000000mm
C615,6.950000mm,12.950000mm,Top,90.0,6.950000mm,12.950000mm
C616,5.225000mm,7.450000mm,Top,-90.0,5.225000mm,7.450000mm
D600,27.456000mm,11.484000mm,Top,90.0,27.456000mm,11.484000mm
D601,12.978000mm,2.340000mm,Top,180.0,12.978000mm,2.340000mm
D602,9.930000mm,2.340000mm,Top,0.0,9.930000mm,2.340000mm
D603,5.317550mm,12.569950mm,Top,-90.0,5.317550mm,12.569950mm
M600,0.000000mm,0.000000mm,Top,0.0,0.000000mm,0.000000mm
Q600,32.700000mm,6.200000mm,Top,-90.0,32.700000mm,6.200000mm
Q601,33.200000mm,13.100000mm,Top,180.0,33.200000mm,13.100000mm
R600,27.329000mm,6.023000mm,Top,90.0,27.329000mm,6.023000mm
R601,27.202000mm,7.928000mm,Top,90.0,27.202000mm,7.928000mm
R602,17.200000mm,12.150000mm,Top,0.0,17.200000mm,12.150000mm
R603,22.122000mm,9.960000mm,Top,-90.0,22.122000mm,9.960000mm
R604,18.693000mm,9.452000mm,Top,180.0,18.693000mm,9.452000mm
R605,21.106000mm,9.960000mm,Top,-90.0,21.106000mm,9.960000mm
R606,26.186000mm,9.960000mm,Top,90.0,26.186000mm,9.960000mm
R607,23.519000mm,2.784500mm,Top,180.0,23.519000mm,2.784500mm
R608,20.150000mm,9.960000mm,Top,-90.0,20.150000mm,9.960000mm
R609,24.154000mm,9.706000mm,Top,0.0,24.154000mm,9.706000mm
R610,27.835000mm,4.050000mm,Top,0.0,27.835000mm,4.050000mm
R611,27.835000mm,3.000000mm,Top,180.0,27.835000mm,3.000000mm
R612,27.835000mm,1.950000mm,Top,0.0,27.835000mm,1.950000mm
R613,24.950000mm,11.750000mm,Top,-90.0,24.950000mm,11.750000mm
R614,25.950000mm,11.950000mm,Top,-90.0,25.950000mm,11.950000mm
R615,25.400000mm,13.750000mm,Top,0.0,25.400000mm,13.750000mm
R616,27.385000mm,13.700000mm,Top,0.0,27.385000mm,13.700000mm
R617,10.715000mm,14.050000mm,Top,0.0,10.715000mm,14.050000mm
R618,17.200000mm,4.000000mm,Top,90.0,17.200000mm,4.000000mm
R619,21.550500mm,2.784500mm,Top,180.0,21.550500mm,2.784500mm
R620,19.582000mm,2.784500mm,Top,180.0,19.582000mm,2.784500mm
R621,19.100000mm,14.050000mm,Top,0.0,19.100000mm,14.050000mm
R622,28.700000mm,12.250000mm,Top,90.0,28.700000mm,12.250000mm
R623,18.185000mm,4.245000mm,Top,-90.0,18.185000mm,4.245000mm
R624,17.200000mm,14.050000mm,Top,180.0,17.200000mm,14.050000mm
R625,5.050000mm,5.300000mm,Top,0.0,5.050000mm,5.300000mm
R626,15.518000mm,2.340000mm,Top,180.0,15.518000mm,2.340000mm
R627,8.665000mm,1.100000mm,Top,0.0,8.665000mm,1.100000mm
R628,5.242550mm,10.059950mm,Top,-90.0,5.242550mm,10.059950mm
U600,22.630000mm,6.150000mm,Top,270.0,22.630000mm,6.150000mm
U601,22.250000mm,12.750000mm,Top,0.0,22.250000mm,12.750000mm
U602,11.550000mm,8.300000mm,Top,90.0,11.550000mm,8.300000mm
U603,2.685000mm,12.276000mm,Top,270.0,2.685000mm,12.276000mm
U604,2.558000mm,7.602400mm,Top,0.0,2.558000mm,7.602400mm
