Comment,Designator,Footprint,LCSC Part #
"1n","C700, C703","C0805","C46653"
"10u","C701","C0603","C19702"
"100n","C702","C0603","C14663"
"0603-White","D700, D701","LED-0603","C2286"
"Module:vr/0.1","M700","",""
"10k","R700, R701","R0603","C25804"
"5.1k","R702, R703, R705, R706, R707, R708, R710, R711","R0805","C27834"
"MAX9926","U700","QSOP16",""
