Designator,Mid X,Mid Y,Layer,Rotation
U1003,34.9000mm,11.3000mm,Bot,180
R1003,32.3000mm,8.4000mm,Bot,0
R1002,34.1000mm,8.8000mm,Bot,90
R1001,40.9032mm,26.1689mm,Bot,270
R107,28.5750mm,8.4000mm,Top,90
D108,33.4250mm,6.0500mm,Top,270
C233,7.3999mm,34.4000mm,Bot,90
U1002,29.9000mm,5.9000mm,Top,270
U1001,2.6999mm,2.9000mm,Bot,0
C1003,32.1000mm,6.1000mm,Top,270
C1002,4.5999mm,3.3000mm,Bot,90
M1000,21.1500mm,20.0500mm,Top,180
VD493,2.6999mm,20.7750mm,Bot,90
VD492,2.4999mm,24.5583mm,Bot,90
VD491,2.4999mm,28.3417mm,Bot,90
VD490,2.4999mm,32.1250mm,Bot,90
U491,2.4000mm,32.5000mm,Top,270
U490,2.4000mm,28.6000mm,Top,270
U460,35.9199mm,19.4750mm,Bot,180
U430,38.1999mm,12.3995mm,Top,0
U285,33.5000mm,31.3000mm,Top,180
U280,30.4000mm,31.3000mm,Top,0
U275,39.8000mm,31.3000mm,Top,180
U270,36.7000mm,31.3000mm,Top,0
U195,31.0000mm,27.0500mm,Top,0
U190,13.0000mm,28.9500mm,Top,90
U185,38.1000mm,27.0500mm,Top,0
U180,18.8000mm,28.9500mm,Top,90
U175,24.6000mm,28.9500mm,Top,90
U170,7.2000mm,28.9500mm,Top,90
S1001,2.0000mm,10.2000mm,Top,270
S1000,2.0000mm,16.1000mm,Top,90
R498,3.2999mm,35.8000mm,Bot,270
R469,40.8000mm,22.2500mm,Bot,0
R468,40.8000mm,21.2000mm,Bot,0
R467,40.8000mm,15.9500mm,Bot,0
R466,40.8000mm,18.0500mm,Bot,0
R464,40.8000mm,17.0000mm,Bot,0
R463,40.8000mm,19.1000mm,Bot,0
R462,40.8000mm,20.1500mm,Bot,0
R461,40.8000mm,23.3000mm,Bot,0
R450,4.0000mm,13.2000mm,Bot,90
R430,41.1000mm,12.4000mm,Bot,270
R258,5.8999mm,36.4000mm,Bot,90
R255,41.1000mm,37.7000mm,Bot,90
R256,5.8999mm,34.4000mm,Bot,270
R254,41.1000mm,35.7500mm,Top,90
R257,9.2000mm,37.2500mm,Bot,270
R245,14.0000mm,37.2500mm,Bot,270
R236,18.7999mm,37.2500mm,Bot,270
R227,23.6000mm,37.2500mm,Bot,270
R209,33.2000mm,37.2500mm,Bot,270
R200,37.9999mm,37.2500mm,Bot,270
R197,31.0000mm,25.6000mm,Bot,90
R196,31.0000mm,28.5000mm,Bot,270
R195,28.1499mm,29.0000mm,Bot,90
R191,14.4500mm,28.9500mm,Bot,180
R190,11.5499mm,28.9500mm,Bot,0
R186,38.1000mm,25.6000mm,Bot,90
R185,38.1000mm,28.5000mm,Bot,270
R181,20.2499mm,28.9500mm,Bot,180
R180,17.3499mm,28.9500mm,Bot,0
R176,26.0499mm,28.9500mm,Bot,180
R175,23.1499mm,28.9500mm,Bot,0
R171,8.6500mm,28.9500mm,Bot,180
R170,5.7500mm,28.9500mm,Bot,0
R497,1.5000mm,38.3000mm,Top,90
R496,2.7000mm,38.3000mm,Top,90
R495,3.9000mm,38.3000mm,Top,90
R494,5.1000mm,38.3000mm,Top,90
R493,1.5000mm,37.3000mm,Top,270
R492,2.7000mm,37.3000mm,Top,270
R491,3.9000mm,37.3000mm,Top,270
R490,5.1000mm,37.3000mm,Top,270
R65,40.4000mm,21.4000mm,Top,0
R64,40.4000mm,17.3000mm,Top,0
R266,7.4000mm,38.3000mm,Top,90
R265,8.6000mm,38.3000mm,Top,90
R264,9.8000mm,38.3000mm,Top,90
R263,11.0000mm,38.3000mm,Top,90
R262,7.4000mm,37.3000mm,Top,270
R261,8.6000mm,37.3000mm,Top,270
R260,9.8000mm,37.3000mm,Top,270
R259,11.0000mm,37.3000mm,Top,270
R253,12.2000mm,38.3000mm,Top,270
R252,13.4000mm,38.3000mm,Top,270
R251,14.6000mm,38.3000mm,Top,270
R250,15.8000mm,38.3000mm,Top,270
R249,12.2000mm,37.3000mm,Top,90
R248,13.4000mm,37.3000mm,Top,90
R247,14.6000mm,37.3000mm,Top,90
R246,15.8000mm,37.3000mm,Top,90
R244,17.0000mm,38.3000mm,Top,90
R243,18.2000mm,38.3000mm,Top,90
R242,19.4000mm,38.3000mm,Top,90
R241,20.6000mm,38.3000mm,Top,90
R240,17.0000mm,37.3000mm,Top,270
R239,18.2000mm,37.3000mm,Top,270
R238,19.4000mm,37.3000mm,Top,270
R237,20.6000mm,37.3000mm,Top,270
R235,21.8000mm,38.3000mm,Top,270
R234,23.0000mm,38.3000mm,Top,270
R233,24.2000mm,38.3000mm,Top,270
R232,25.4000mm,38.3000mm,Top,270
R231,21.8000mm,37.3000mm,Top,90
R230,23.0000mm,37.3000mm,Top,90
R229,24.2000mm,37.3000mm,Top,90
R228,25.4000mm,37.3000mm,Top,90
R226,26.6000mm,38.3000mm,Top,90
R225,27.8000mm,38.3000mm,Top,90
R224,29.0000mm,38.3000mm,Top,90
R223,30.2000mm,38.3000mm,Top,90
R222,26.6000mm,37.3000mm,Top,270
R221,27.8000mm,37.3000mm,Top,270
R220,29.0000mm,37.3000mm,Top,270
R219,30.2000mm,37.3000mm,Top,270
R218,28.4000mm,37.2500mm,Bot,270
R217,31.4000mm,38.3000mm,Top,90
R216,32.6000mm,38.3000mm,Top,90
R215,33.8000mm,38.3000mm,Top,90
R214,35.0000mm,38.3000mm,Top,90
R213,31.3700mm,37.3000mm,Top,270
R212,32.6000mm,37.3000mm,Top,270
R211,33.8000mm,37.3000mm,Top,270
R210,35.0000mm,37.3000mm,Top,270
R208,36.2000mm,38.3000mm,Top,90
R207,37.4000mm,38.3000mm,Top,90
R206,38.6000mm,38.3000mm,Top,90
R205,39.8000mm,38.3000mm,Top,90
R204,36.2000mm,37.3000mm,Top,270
R203,37.4000mm,37.3000mm,Top,270
R202,38.6000mm,37.3000mm,Top,270
R201,39.8000mm,37.3000mm,Top,270
R1000,29.8999mm,32.9000mm,Bot,180
P1047,18.4000mm,24.5000mm,Top,90
P1046,27.1000mm,24.3000mm,Top,90
P1045,22.8000mm,24.6000mm,Top,90
P201,6.1300mm,38.8000mm,Top,270
P200,41.1000mm,39.3000mm,Top,270
P493,13.6000mm,24.6000mm,Top,0
P492,10.7000mm,24.6000mm,Top,0
P491,7.7000mm,24.6000mm,Top,0
P490,6.4000mm,23.4000mm,Top,0
J450,14.4249mm,11.7470mm,Bot,0
D430,38.1748mm,13.4345mm,Bot,180
D205,2.5000mm,22.6500mm,Top,270
D207,9.2000mm,34.5000mm,Top,180
D206,14.0000mm,34.5000mm,Top,180
D204,18.8000mm,34.5000mm,Top,180
D203,23.6000mm,34.5000mm,Top,180
D201,33.2000mm,34.5000mm,Top,180
D200,38.0000mm,34.5000mm,Top,180
D9,31.8500mm,21.7000mm,Top,0
D8,36.0500mm,21.7000mm,Top,0
D7,31.8500mm,19.9000mm,Top,0
D6,36.0500mm,19.9000mm,Top,0
D5,31.8500mm,18.1000mm,Top,0
