Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BRD1,0.000000mm,0.000000mm,Top,0.0,0.000000mm,0.000000mm
J1,83.025126mm,3.000000mm,Top,90.0,83.025126mm,3.000000mm
P1,9.300126mm,25.800000mm,Top,0.0,9.300126mm,25.800000mm
P2,9.300126mm,22.500000mm,Top,0.0,9.300126mm,22.500000mm
P3,9.300126mm,34.200000mm,Top,0.0,9.300126mm,34.200000mm
P4,9.300126mm,27.500000mm,Top,0.0,9.300126mm,27.500000mm
P5,14.800126mm,20.000000mm,Top,0.0,14.800126mm,20.000000mm
P6,14.800126mm,22.500000mm,Top,0.0,14.800126mm,22.500000mm
P7,14.800126mm,25.000000mm,Top,0.0,14.800126mm,25.000000mm
P8,20.000000mm,27.500000mm,Top,0.0,20.000000mm,27.500000mm
P9,9.300126mm,42.500000mm,Top,0.0,9.300126mm,42.500000mm
P10,9.300126mm,45.000000mm,Top,0.0,9.300126mm,45.000000mm
P11,5.000000mm,53.600000mm,Top,0.0,5.000000mm,53.600000mm
P12,9.300126mm,57.800000mm,Top,0.0,9.300126mm,57.800000mm
P13,5.000000mm,62.000000mm,Top,0.0,5.000000mm,62.000000mm
P14,9.300126mm,66.200000mm,Top,0.0,9.300126mm,66.200000mm
P15,9.300126mm,57.500000mm,Top,0.0,9.300126mm,57.500000mm
P16,9.300126mm,74.600000mm,Top,0.0,9.300126mm,74.600000mm
P17,9.300126mm,78.800000mm,Top,0.0,9.300126mm,78.800000mm
P18,14.800126mm,42.500000mm,Top,0.0,14.800126mm,42.500000mm
P19,14.800126mm,45.000000mm,Top,0.0,14.800126mm,45.000000mm
P20,14.800126mm,53.600000mm,Top,0.0,14.800126mm,53.600000mm
P21,14.800126mm,50.000000mm,Top,0.0,14.800126mm,50.000000mm
P22,14.800126mm,62.000000mm,Top,0.0,14.800126mm,62.000000mm
P23,20.000000mm,66.200000mm,Top,0.0,20.000000mm,66.200000mm
P24,14.800126mm,57.500000mm,Top,0.0,14.800126mm,57.500000mm
P25,14.800126mm,74.600000mm,Top,0.0,14.800126mm,74.600000mm
P26,14.800126mm,62.500000mm,Top,0.0,14.800126mm,62.500000mm
P27,10.625126mm,90.725000mm,Top,0.0,10.625126mm,90.725000mm
P28,14.825126mm,90.725000mm,Top,0.0,14.825126mm,90.725000mm
P29,12.500000mm,90.725000mm,Top,0.0,12.500000mm,90.725000mm
P30,23.225126mm,90.725000mm,Top,0.0,23.225126mm,90.725000mm
P31,17.500000mm,90.725000mm,Top,0.0,17.500000mm,90.725000mm
P32,20.000000mm,90.725000mm,Top,0.0,20.000000mm,90.725000mm
P33,32.500000mm,90.725000mm,Top,0.0,32.500000mm,90.725000mm
P34,40.025126mm,90.725000mm,Top,0.0,40.025126mm,90.725000mm
P35,37.500000mm,90.725000mm,Top,0.0,37.500000mm,90.725000mm
P36,48.425126mm,90.725000mm,Top,0.0,48.425126mm,90.725000mm
P37,7.500000mm,85.225000mm,Top,0.0,7.500000mm,85.225000mm
P38,10.000000mm,85.225000mm,Top,0.0,10.000000mm,85.225000mm
P39,12.500000mm,85.225000mm,Top,0.0,12.500000mm,85.225000mm
P40,15.000000mm,85.225000mm,Top,0.0,15.000000mm,85.225000mm
P41,17.500000mm,85.225000mm,Top,0.0,17.500000mm,85.225000mm
P42,31.625126mm,85.225000mm,Top,0.0,31.625126mm,85.225000mm
P43,32.500000mm,85.225000mm,Top,0.0,32.500000mm,85.225000mm
P44,35.000000mm,85.225000mm,Top,0.0,35.000000mm,85.225000mm
P45,44.225126mm,85.225000mm,Top,0.0,44.225126mm,85.225000mm
P46,40.000000mm,85.225000mm,Top,0.0,40.000000mm,85.225000mm
P47,60.000000mm,90.725000mm,Top,0.0,60.000000mm,90.725000mm
P48,64.525126mm,90.725000mm,Top,0.0,64.525126mm,90.725000mm
P49,65.000000mm,90.725000mm,Top,0.0,65.000000mm,90.725000mm
P50,72.925126mm,90.725000mm,Top,0.0,72.925126mm,90.725000mm
P51,77.125126mm,90.725000mm,Top,0.0,77.125126mm,90.725000mm
P52,77.500000mm,90.725000mm,Top,0.0,77.500000mm,90.725000mm
P53,80.000000mm,90.725000mm,Top,0.0,80.000000mm,90.725000mm
P54,82.500000mm,90.725000mm,Top,0.0,82.500000mm,90.725000mm
P55,60.000000mm,85.225000mm,Top,0.0,60.000000mm,85.225000mm
P56,62.500000mm,85.225000mm,Top,0.0,62.500000mm,85.225000mm
P57,65.000000mm,85.225000mm,Top,0.0,65.000000mm,85.225000mm
P58,67.500000mm,85.225000mm,Top,0.0,67.500000mm,85.225000mm
P59,77.125126mm,85.225000mm,Top,0.0,77.125126mm,85.225000mm
P60,81.325126mm,85.225000mm,Top,0.0,81.325126mm,85.225000mm
P61,85.000000mm,85.000000mm,Top,0.0,85.000000mm,85.000000mm
P62,89.725126mm,85.225000mm,Top,0.0,89.725126mm,85.225000mm
P63,95.000000mm,79.200000mm,Top,0.0,95.000000mm,79.200000mm
P64,95.000000mm,75.000000mm,Top,0.0,95.000000mm,75.000000mm
P65,95.000000mm,70.000000mm,Top,0.0,95.000000mm,70.000000mm
P66,85.250126mm,80.000000mm,Top,0.0,85.250126mm,80.000000mm
P67,85.250126mm,75.000000mm,Top,0.0,85.250126mm,75.000000mm
P68,82.500000mm,70.600000mm,Top,0.0,82.500000mm,70.600000mm
P69,83.225126mm,24.000000mm,Top,0.0,83.225126mm,24.000000mm
P70,83.225126mm,19.300000mm,Top,0.0,83.225126mm,19.300000mm
P71,62.525126mm,2.500000mm,Top,0.0,62.525126mm,2.500000mm
P72,62.525126mm,7.500000mm,Top,0.0,62.525126mm,7.500000mm
