Designator,Mid X,Mid Y,Layer,Rotation
D411,11.8300mm,8.1750mm,Top,0
C413,8.2000mm,9.0000mm,Top,180
C412,3.4500mm,12.7250mm,Top,270
U410,7.9750mm,11.4850mm,Top,270
M410,7.9625mm,7.9250mm,Top,0
D416,14.0000mm,14.6000mm,Top,180
D418,11.1250mm,3.3250mm,Top,180
D414,3.0250mm,9.7000mm,Top,180
R413,5.7750mm,7.2000mm,Top,360
C411,0.9250mm,8.7900mm,Top,90
F410,10.7500mm,13.1500mm,Top,90
D413,15.2500mm,11.8000mm,Top,270
R410,8.4000mm,7.1500mm,Top,360
D412,13.0475mm,11.3725mm,Top,270
C410,1.4000mm,12.7500mm,Top,270
D417,5.3750mm,13.1250mm,Top,270
R411,4.2000mm,8.4250mm,Top,180
D410,2.9500mm,7.1500mm,Top,360
