Designator,Mid X,Mid Y,Layer,Rotation
U103,4.1501mm,21.7000mm,Top,90
R110,1.2001mm,21.6000mm,Bottom,90
D104,4.1252mm,20.5655mm,Bottom,180
R147,38.7000mm,23.6000mm,Bottom,270
R146,8.2000mm,12.1000mm,Bottom,90
R141,13.5750mm,27.7000mm,Top,270
R109,40.1000mm,34.4500mm,Bottom,180
R108,5.2606mm,33.2254mm,Bottom,0
Q103,39.7266mm,33.3380mm,Top,0
Q102,39.7713mm,31.3042mm,Bottom,270
Q101,1.7500mm,34.4450mm,Bottom,270
Q100,5.1000mm,35.5050mm,Bottom,90
L100,11.1500mm,22.6000mm,Top,270
F100,40.4000mm,25.4500mm,Bottom,90
C120,13.9500mm,21.8000mm,Top,270
U110,7.4000mm,28.8000mm,Bottom,0
R145,8.8000mm,32.0500mm,Bottom,180
R144,8.8000mm,30.8500mm,Bottom,180
R143,7.3500mm,10.0000mm,Bottom,90
R107,9.4000mm,31.3000mm,Top,180
D108,8.8750mm,34.0500mm,Top,90
C134,10.4000mm,34.0000mm,Top,90
M1000,21.1500mm,20.0500mm,Top,0
U100,4.1001mm,27.7005mm,Top,90
U195,11.3000mm,11.4500mm,Top,90
U190,18.4000mm,11.4500mm,Top,90
U185,4.2000mm,11.4500mm,Top,90
S101,40.3000mm,28.8000mm,Top,90
S100,40.3000mm,23.0000mm,Top,270
R120,33.9500mm,37.6000mm,Bottom,0
R100,1.2001mm,27.7000mm,Bottom,90
R258,36.1500mm,3.0103mm,Top,270
R255,1.2000mm,2.4000mm,Bottom,270
R256,38.5000mm,3.0000mm,Top,90
R254,1.2000mm,4.3500mm,Top,270
R209,9.1000mm,2.8500mm,Bottom,0
R200,4.3001mm,2.8500mm,Bottom,0
R197,11.3000mm,12.9000mm,Bottom,180
R196,11.3000mm,10.0000mm,Bottom,0
R195,14.1501mm,9.5000mm,Bottom,270
R191,18.4000mm,12.9000mm,Bottom,180
R190,18.4000mm,9.9999mm,Bottom,0
R186,4.2000mm,12.9000mm,Bottom,180
R185,4.2000mm,10.0000mm,Bottom,0
R226,15.7000mm,1.8000mm,Top,270
R225,14.5000mm,1.8000mm,Top,270
R224,13.3000mm,1.8000mm,Top,270
R223,12.1000mm,1.8000mm,Top,270
R222,15.7000mm,2.8000mm,Top,90
R221,14.5000mm,2.8000mm,Top,90
R220,13.3000mm,2.8000mm,Top,90
