"Comment","Designator","Footprint","LCSC Part #"
"1n","C751","hellen-one-common:C0603","C1588"
"100n","C752","hellen-one-common:C0603","C14663"
"22u","C754","hellen-one-common:C0603","C59461"
"GREEN","D751","LED_SMD:LED_0603_1608Metric","C72043"
"BAT54S","D752","Package_TO_SOT_SMD:SOT-23","C408389"
"BAT54S","D753","Package_TO_SOT_SMD:SOT-23","C408389"
"Module-vr-max9924-0.1","M751","hellen-one-vr-max9924-0.1:vr-max9924",""
"AO3401A","Q752","hellen-one-common:SOT-23","C15127"
"AO3400A","Q753","hellen-one-common:SOT-23"," C20917"
"10k","R751","hellen-one-common:R1206","C17928"
"10k","R752","hellen-one-common:R1206","C17928"
"10k","R753","hellen-one-common:R1206","C17928"
"10k","R754","hellen-one-common:R1206","C17928"
"DNP","R755","hellen-one-common:R0603",""
"10k","R756","hellen-one-common:R0603","C25804"
"10k","R757","hellen-one-common:R0603","C25804"
"10k","R758","hellen-one-common:R1206","C17928"
"10k","R759","hellen-one-common:R1206","C17928"
"10k","R760","hellen-one-common:R0603","C25804"
"10k","R761","hellen-one-common:R1206","C17928"
"10k","R762","hellen-one-common:R0603","C25804"
"10k","R763","hellen-one-common:R1206","C17928"
"MAX9924UAUB+","U751","Package_SO:MSOP-10_3x3mm_P0.5mm","C143633"
